1 2 1	1095171960 2004-9-14
605 1176 -1	1122340680 2005-7-26
1025 1176 -1	1122352260 2005-7-26
903 1176 -1	1122392880 2005-7-26
1167 1176 -1	1122513660 2005-7-28
1064 1177 -1	1122320220 2005-7-25
903 1177 -1	1122392580 2005-7-26
1167 1177 -1	1122524220 2005-7-28
889 1177 -1	1122569820 2005-7-28
1036 1177 -1	1122732180 2005-7-30
1167 902 -1	1122350760 2005-7-26
781 902 1	1122352500 2005-7-26
610 902 1	1122368220 2005-7-26
605 902 1	1122376440 2005-7-26
346 902 1	1122384540 2005-7-26
625 902 1	1122385560 2005-7-26
903 902 1	1122393240 2005-7-26
1019 902 1	1122399000 2005-7-26
719 902 1	1122425880 2005-7-27
639 902 1	1122453420 2005-7-27
863 902 1	1122475560 2005-7-27
581 902 1	1122476880 2005-7-27
1178 902 1	1122504840 2005-7-27
312 902 1	1122524700 2005-7-28
286 902 1	1122530220 2005-7-28
1138 902 1	1122532800 2005-7-28
287 902 1	1122546660 2005-7-28
11 902 1	1122604920 2005-7-29
752 902 1	1122618900 2005-7-29
720 902 1	1122645240 2005-7-29
198 902 1	1122663120 2005-7-29
871 902 1	1122673140 2005-7-29
285 902 1	1122703140 2005-7-30
928 902 -1	1122721080 2005-7-30
313 902 -1	1122746520 2005-7-30
804 902 1	1122764880 2005-7-30
1179 902 1	1122865860 2005-8-1
1180 902 1	1122874380 2005-8-1
1181 902 1	1122909120 2005-8-1
839 902 -1	1122916860 2005-8-1
290 902 1	1122921060 2005-8-1
875 902 1	1122926760 2005-8-1
1064 902 1	1122989280 2005-8-2
282 490 1	1122410280 2005-7-26
937 490 1	1122410280 2005-7-26
79 490 1	1122410640 2005-7-26
173 490 1	1122412020 2005-7-26
714 490 1	1122414840 2005-7-26
897 490 1	1122414960 2005-7-26
601 490 1	1122415380 2005-7-26
170 490 1	1122415560 2005-7-26
30 490 1	1122416700 2005-7-26
842 490 1	1122420360 2005-7-26
841 490 1	1122420480 2005-7-26
769 490 1	1122420720 2005-7-26
1182 490 1	1122423240 2005-7-27
293 490 1	1122423420 2005-7-27
65 490 1	1122423600 2005-7-27
81 490 1	1122428820 2005-7-27
581 490 1	1122476520 2005-7-27
1117 490 1	1122504540 2005-7-27
1097 490 1	1122519600 2005-7-28
1140 490 1	1122524220 2005-7-28
287 490 1	1122546600 2005-7-28
1141 490 1	1122556980 2005-7-28
3 490 1	1122566580 2005-7-28
438 490 1	1122586980 2005-7-28
1030 490 1	1122591900 2005-7-28
11 490 1	1122604680 2005-7-29
1183 490 1	1122606000 2005-7-29
27 490 1	1122610080 2005-7-29
423 490 1	1122636060 2005-7-29
639 490 -1	1122636840 2005-7-29
155 490 1	1122643140 2005-7-29
780 490 1	1122649560 2005-7-29
1035 490 1	1122666000 2005-7-29
6 490 -1	1122741120 2005-7-30
1184 490 1	1122745920 2005-7-30
1129 490 1	1122749220 2005-7-30
643 490 1	1122766860 2005-7-30
1033 490 1	1122768300 2005-7-31
42 490 1	1122793080 2005-7-31
1178 490 1	1122794640 2005-7-31
1040 490 1	1122801300 2005-7-31
577 490 1	1122816120 2005-7-31
1143 490 1	1122822240 2005-7-31
37 490 1	1122835920 2005-7-31
752 490 1	1122937260 2005-8-1
875 490 1	1122960660 2005-8-2
953 490 1	1122983340 2005-8-2
24 490 1	1123006080 2005-8-2
1185 490 1	1123011540 2005-8-2
601 897 1	1122422820 2005-7-27
605 897 -1	1122423540 2005-7-27
842 897 1	1122424740 2005-7-27
1117 897 -1	1122424980 2005-7-27
714 897 1	1122425400 2005-7-27
937 897 1	1122425520 2005-7-27
1144 897 -1	1122426300 2005-7-27
1167 897 -1	1122427380 2005-7-27
903 897 -1	1122429300 2005-7-27
592 897 -1	1122448020 2005-7-27
313 897 -1	1122460020 2005-7-27
675 897 1	1122468960 2005-7-27
280 897 1	1122479760 2005-7-27
1019 897 1	1122490140 2005-7-27
1129 897 1	1122526860 2005-7-28
287 897 1	1122546600 2005-7-28
1064 897 1	1122556380 2005-7-28
625 897 -1	1122558360 2005-7-28
438 897 1	1122587580 2005-7-28
643 897 1	1122596460 2005-7-29
282 897 1	1122600660 2005-7-29
11 897 1	1122604500 2005-7-29
490 897 1	1122617940 2005-7-29
946 897 -1	1122631140 2005-7-29
650 897 -1	1122667140 2005-7-29
1057 897 -1	1122669600 2005-7-29
119 897 -1	1122680700 2005-7-29
1169 897 1	1122705900 2005-7-30
698 897 1	1122719700 2005-7-30
1036 897 -1	1122731580 2005-7-30
875 897 1	1122740160 2005-7-30
1186 897 -1	1122771600 2005-7-31
657 897 -1	1122917700 2005-8-1
903 724 1	1122596880 2005-7-29
11 724 1	1122604440 2005-7-29
1151 724 1	1122606540 2005-7-29
1117 724 1	1122606720 2005-7-29
123 724 -1	1122606960 2005-7-29
1187 724 -1	1122608760 2005-7-29
741 724 -1	1122615000 2005-7-29
46 724 -1	1122615480 2005-7-29
313 724 -1	1122633000 2005-7-29
6 724 -1	1122648300 2005-7-29
42 1188 1	1122605160 2005-7-29
913 752 1	1122682440 2005-7-30
863 752 1	1122685260 2005-7-30
650 752 1	1122691080 2005-7-30
21 752 1	1122706980 2005-7-30
839 752 1	1122709620 2005-7-30
889 752 1	1122730380 2005-7-30
158 752 1	1122733560 2005-7-30
766 752 1	1122741120 2005-7-30
29 752 1	1122751860 2005-7-30
643 752 1	1122766560 2005-7-30
287 752 1	1122775560 2005-7-31
42 752 1	1122793320 2005-7-31
1189 752 1	1122809040 2005-7-31
625 752 1	1122812760 2005-7-31
577 752 1	1122815640 2005-7-31
903 752 1	1122826020 2005-7-31
911 752 1	1122837000 2005-7-31
1151 752 1	1122837480 2005-7-31
1190 752 1	1122847800 2005-7-31
490 752 1	1122857160 2005-8-1
1099 752 1	1122858060 2005-8-1
1191 752 1	1122859440 2005-8-1
1192 752 1	1122871680 2005-8-1
1019 752 1	1122916140 2005-8-1
1060 752 1	1122924540 2005-8-1
935 752 1	1122951540 2005-8-2
161 752 1	1122975120 2005-8-2
24 752 1	1123006200 2005-8-2
1106 752 1	1123028760 2005-8-3
134 752 1	1123029180 2005-8-3
858 752 1	1123039680 2005-8-3
1057 752 1	1123042980 2005-8-3
311 752 1	1123086420 2005-8-3
1193 752 1	1123117020 2005-8-4
1140 752 1	1123124160 2005-8-4
160 752 1	1123128300 2005-8-4
293 752 1	1123192560 2005-8-4
149 752 1	1123253040 2005-8-5
1035 752 1	1123277520 2005-8-5
1194 752 1	1123458720 2005-8-7
69 589 1	1122702780 2005-7-30
729 589 1	1122703560 2005-7-30
699 589 1	1122703980 2005-7-30
576 589 1	1122707880 2005-7-30
698 589 1	1122719520 2005-7-30
928 589 1	1122720600 2005-7-30
155 589 1	1122731160 2005-7-30
1036 589 1	1122731460 2005-7-30
168 589 1	1122733140 2005-7-30
158 589 1	1122733380 2005-7-30
747 589 1	1122735180 2005-7-30
645 589 1	1122736740 2005-7-30
913 589 1	1122741360 2005-7-30
282 589 1	1122746760 2005-7-30
29 589 1	1122751740 2005-7-30
584 589 1	1122763980 2005-7-30
287 589 1	1122775560 2005-7-31
12 589 1	1122776640 2005-7-31
728 589 1	1122786600 2005-7-31
1195 589 1	1122788820 2005-7-31
736 589 1	1122789000 2005-7-31
577 589 1	1122789420 2005-7-31
42 589 1	1122793320 2005-7-31
1196 589 1	1122813000 2005-7-31
625 589 1	1122813840 2005-7-31
650 589 1	1122821400 2005-7-31
1141 589 1	1122835980 2005-7-31
1197 589 -1	1122850020 2005-7-31
490 589 1	1122856680 2005-8-1
1035 589 1	1122913260 2005-8-1
1167 589 1	1122992640 2005-8-2
1097 589 1	1123004640 2005-8-2
24 589 1	1123006380 2005-8-2
1198 589 1	1123014000 2005-8-2
293 589 1	1123020960 2005-8-2
1199 589 1	1123021140 2005-8-2
1106 589 1	1123029000 2005-8-3
134 589 1	1123029060 2005-8-3
1200 589 1	1123030020 2005-8-3
11 589 1	1123045140 2005-8-3
311 589 1	1123086300 2005-8-3
967 589 1	1123105200 2005-8-3
234 589 1	1123122120 2005-8-4
82 589 1	1123124040 2005-8-4
1140 589 1	1123124220 2005-8-4
1169 589 1	1123139220 2005-8-4
627 589 1	1123139520 2005-8-4
973 589 1	1123161540 2005-8-4
406 589 1	1123169940 2005-8-4
288 589 1	1123183980 2005-8-4
30 589 1	1123215000 2005-8-5
901 589 1	1123257600 2005-8-5
897 589 1	1123300560 2005-8-6
714 589 1	1123301100 2005-8-6
1201 1184 1	1122743760 2005-7-30
290 1184 1	1122745020 2005-7-30
158 1184 1	1122760260 2005-7-30
744 1184 1	1122768240 2005-7-31
1151 1184 1	1122771360 2005-7-31
287 1184 1	1122775560 2005-7-31
1202 1184 1	1122780540 2005-7-31
577 1184 1	1122788880 2005-7-31
592 1184 1	1122792480 2005-7-31
1203 1184 1	1122811440 2005-7-31
650 1184 1	1122821340 2005-7-31
913 1184 1	1122840300 2005-7-31
823 1184 1	1122852780 2005-7-31
490 1184 1	1122856200 2005-8-1
1204 1184 1	1122858540 2005-8-1
1117 1184 1	1122901200 2005-8-1
399 1184 1	1122915360 2005-8-1
973 1184 1	1122918600 2005-8-1
1205 1184 1	1122924420 2005-8-1
1033 1184 1	1122932880 2005-8-1
293 1184 1	1123020900 2005-8-2
1057 1184 1	1123042800 2005-8-3
11 1184 1	1123045200 2005-8-3
295 1184 1	1123050360 2005-8-3
311 1184 1	1123086120 2005-8-3
1193 1184 1	1123116900 2005-8-4
1206 1184 1	1123160760 2005-8-4
29 1184 1	1123186860 2005-8-4
641 1184 1	1123270200 2005-8-5
897 1184 1	1123300380 2005-8-6
579 1184 1	1123306320 2005-8-6
170 581 1	1122823980 2005-7-31
634 581 1	1122824280 2005-7-31
79 581 1	1122824400 2005-7-31
724 581 1	1122824520 2005-7-31
282 581 1	1122824580 2005-7-31
719 581 1	1122828900 2005-7-31
913 581 1	1122839760 2005-7-31
490 581 1	1122844920 2005-7-31
287 581 1	1122891660 2005-8-1
639 581 1	1122894300 2005-8-1
1035 581 1	1122913140 2005-8-1
168 581 1	1122919800 2005-8-1
547 581 1	1122930420 2005-8-1
650 581 1	1122930900 2005-8-1
1057 581 1	1122938700 2005-8-1
158 581 1	1122953160 2005-8-2
741 581 1	1122969840 2005-8-2
1207 581 1	1122990060 2005-8-2
24 581 1	1123006620 2005-8-2
293 581 1	1123020840 2005-8-2
858 581 1	1123039860 2005-8-3
11 581 1	1123045200 2005-8-3
295 581 1	1123050300 2005-8-3
286 581 1	1123055520 2005-8-3
161 581 1	1123058820 2005-8-3
946 581 1	1123064820 2005-8-3
311 581 1	1123085940 2005-8-3
1185 581 1	1123088280 2005-8-3
134 581 1	1123090020 2005-8-3
960 581 1	1123106400 2005-8-3
1193 581 1	1123116840 2005-8-4
577 581 1	1123159380 2005-8-4
973 581 1	1123161480 2005-8-4
30 581 1	1123191840 2005-8-4
1019 1208 1	1122916920 2005-8-1
290 1208 -1	1122919740 2005-8-1
1064 1208 -1	1122926040 2005-8-1
650 1208 1	1122931140 2005-8-1
20 1208 -1	1122944220 2005-8-2
1167 1208 -1	1122956520 2005-8-2
1169 1208 1	1122966480 2005-8-2
1057 1208 1	1123042440 2005-8-3
311 1208 -1	1123086960 2005-8-3
720 1208 -1	1123093080 2005-8-3
960 1208 -1	1123107360 2005-8-3
1193 1208 1	1123117260 2005-8-4
577 1208 -1	1123158780 2005-8-4
657 1208 -1	1123190160 2005-8-4
11 1208 1	1123209120 2005-8-5
6 1208 -1	1123271340 2005-8-5
579 1208 -1	1123379460 2005-8-7
1081 1208 -1	1123394760 2005-8-7
1030 1208 -1	1123418220 2005-8-7
1128 1208 1	1123463820 2005-8-8
1019 645 1	1122918240 2005-8-1
640 645 1	1122918660 2005-8-1
973 645 1	1122918840 2005-8-1
702 645 1	1122919080 2005-8-1
953 645 1	1122919140 2005-8-1
719 645 1	1122919440 2005-8-1
605 645 1	1122925560 2005-8-1
1064 645 1	1122926100 2005-8-1
285 645 1	1122937020 2005-8-1
1125 645 1	1122950100 2005-8-2
1167 645 1	1122954480 2005-8-2
1100 645 1	1122967860 2005-8-2
313 645 -1	1122978780 2005-8-2
287 645 1	1122979200 2005-8-2
889 645 1	1122984420 2005-8-2
1185 645 1	1122996060 2005-8-2
625 645 1	1123001040 2005-8-2
1107 645 1	1123007700 2005-8-2
1035 645 1	1123013940 2005-8-2
282 645 1	1123021980 2005-8-2
134 645 1	1123029480 2005-8-3
11 645 1	1123045440 2005-8-3
286 645 1	1123055700 2005-8-3
161 645 1	1123057380 2005-8-3
912 645 1	1123070220 2005-8-3
642 645 1	1123074240 2005-8-3
720 645 1	1123093440 2005-8-3
1209 645 1	1123099620 2005-8-3
960 645 -1	1123106160 2005-8-3
490 645 1	1123116960 2005-8-4
29 645 1	1123120980 2005-8-4
160 645 1	1123128180 2005-8-4
1169 645 1	1123129560 2005-8-4
24 645 1	1123270020 2005-8-5
641 645 1	1123270140 2005-8-5
196 645 1	1123270140 2005-8-5
736 645 1	1123271280 2005-8-5
1057 645 1	1123292700 2005-8-6
795 645 1	1123295880 2005-8-6
579 645 1	1123306200 2005-8-6
37 645 1	1123361400 2005-8-6
503 645 1	1123462200 2005-8-8
918 944 -1	1123014660 2005-8-2
1057 944 -1	1123014840 2005-8-2
741 944 -1	1123014960 2005-8-2
1210 944 1	1123015140 2005-8-2
640 944 -1	1123015380 2005-8-2
699 944 -1	1123017480 2005-8-2
1030 944 -1	1123017600 2005-8-2
1185 944 -1	1123017900 2005-8-2
1033 944 -1	1123017900 2005-8-2
23 944 -1	1123019520 2005-8-2
897 944 -1	1123022820 2005-8-2
861 944 -1	1123023300 2005-8-2
889 263 1	1123019580 2005-8-2
346 263 1	1123020300 2005-8-2
1057 263 1	1123020420 2005-8-2
341 263 1	1123020600 2005-8-2
293 263 1	1123020660 2005-8-2
282 263 1	1123021680 2005-8-2
29 263 1	1123021980 2005-8-2
861 263 1	1123023480 2005-8-2
285 263 1	1123024020 2005-8-2
795 263 1	1123026900 2005-8-2
134 263 1	1123028640 2005-8-3
650 263 1	1123029180 2005-8-3
123 263 1	1123030740 2005-8-3
254 263 1	1123031340 2005-8-3
1079 263 1	1123034580 2005-8-3
858 263 1	1123039380 2005-8-3
736 263 -1	1123039800 2005-8-3
295 263 1	1123049760 2005-8-3
286 263 1	1123055580 2005-8-3
719 263 -1	1123058460 2005-8-3
741 263 -1	1123059000 2005-8-3
641 263 1	1123062360 2005-8-3
572 263 1	1123084620 2005-8-3
1019 263 1	1123084920 2005-8-3
1035 263 1	1123086240 2005-8-3
155 263 1	1123086840 2005-8-3
974 263 1	1123086960 2005-8-3
423 263 1	1123089180 2005-8-3
720 263 1	1123093440 2005-8-3
1060 263 1	1123093800 2005-8-3
666 263 1	1123102440 2005-8-3
793 263 1	1123105500 2005-8-3
283 263 -1	1123106640 2005-8-3
1064 263 -1	1123107120 2005-8-3
899 263 -1	1123108200 2005-8-3
769 263 1	1123108740 2005-8-3
911 263 1	1123108860 2005-8-3
30 263 1	1123112700 2005-8-3
781 263 1	1123113960 2005-8-4
1211 263 -1	1123114860 2005-8-4
490 263 1	1123117380 2005-8-4
547 263 1	1123122480 2005-8-4
873 263 1	1123122840 2005-8-4
627 263 1	1123137120 2005-8-4
168 263 -1	1123159200 2005-8-4
1212 263 -1	1123166820 2005-8-4
1129 263 -1	1123168380 2005-8-4
290 263 1	1123169880 2005-8-4
581 263 -1	1123192620 2005-8-4
605 263 1	1123198140 2005-8-4
1033 263 1	1123199100 2005-8-4
1167 263 -1	1123210080 2005-8-5
233 263 1	1123223940 2005-8-5
1213 263 1	1123242720 2005-8-5
321 263 1	1123252800 2005-8-5
935 263 1	1123254780 2005-8-5
24 263 1	1123269900 2005-8-5
1180 263 -1	1123289580 2005-8-6
1173 263 1	1123297020 2005-8-6
1130 263 1	1123300560 2005-8-6
579 263 1	1123305720 2005-8-6
1041 263 -1	1123345140 2005-8-6
642 263 1	1123377120 2005-8-7
503 263 1	1123462980 2005-8-8
109 263 -1	1123481040 2005-8-8
1214 263 -1	1123516080 2005-8-8
693 263 1	1123532040 2005-8-8
238 263 1	1123532700 2005-8-8
158 263 1	1123533960 2005-8-8
1061 263 -1	1123539120 2005-8-8
1015 263 1	1123549860 2005-8-9
944 263 -1	1123554900 2005-8-9
187 263 1	1123555080 2005-8-9
1215 263 1	1123627500 2005-8-9
20 734 1	1123035120 2005-8-3
1100 734 1	1123041120 2005-8-3
1057 734 1	1123042560 2005-8-3
546 734 1	1123043700 2005-8-3
11 734 1	1123045560 2005-8-3
295 734 1	1123050360 2005-8-3
158 734 1	1123050780 2005-8-3
287 734 1	1123060620 2005-8-3
1117 734 1	1123082340 2005-8-3
311 734 1	1123085580 2005-8-3
155 734 1	1123086720 2005-8-3
1193 734 1	1123116720 2005-8-4
490 734 1	1123117560 2005-8-4
547 734 1	1123122720 2005-8-4
160 734 1	1123128420 2005-8-4
577 734 1	1123160580 2005-8-4
973 734 1	1123161180 2005-8-4
650 734 1	1123181100 2005-8-4
1015 734 1	1123197180 2005-8-4
625 734 1	1123203300 2005-8-5
918 734 1	1123264140 2005-8-5
641 734 1	1123270020 2005-8-5
579 734 1	1123306140 2005-8-6
572 734 1	1123349700 2005-8-6
24 734 1	1123388280 2005-8-7
503 734 1	1123463160 2005-8-8
642 734 1	1123504440 2005-8-8
944 734 -1	1123553640 2005-8-9
30 734 1	1123554240 2005-8-9
1106 734 1	1123588260 2005-8-9
238 734 1	1123630920 2005-8-9
1137 1216 1	1123044660 2005-8-3
1057 1216 1	1123044660 2005-8-3
1100 1216 1	1123045200 2005-8-3
11 1216 1	1123045680 2005-8-3
581 1216 1	1123058220 2005-8-3
287 1216 1	1123060680 2005-8-3
918 1216 1	1123068120 2005-8-3
311 1216 1	1123085100 2005-8-3
155 1216 1	1123086540 2005-8-3
1064 1216 1	1123086780 2005-8-3
134 1216 1	1123089840 2005-8-3
1019 1216 1	1123094280 2005-8-3
1035 1216 1	1123094580 2005-8-3
1179 1216 1	1123105500 2005-8-3
911 1216 1	1123108560 2005-8-3
858 1216 1	1123110180 2005-8-3
1178 1216 1	1123114800 2005-8-4
1193 1216 1	1123116600 2005-8-4
490 1216 1	1123117800 2005-8-4
346 1216 1	1123120740 2005-8-4
1185 1216 1	1123123860 2005-8-4
160 1216 1	1123128660 2005-8-4
973 1216 1	1123160820 2005-8-4
577 1216 1	1123161300 2005-8-4
1181 1216 1	1123168680 2005-8-4
650 1216 1	1123181040 2005-8-4
1060 1216 1	1123188480 2005-8-4
30 1216 1	1123189800 2005-8-4
1015 1216 1	1123197540 2005-8-4
79 1216 1	1123215120 2005-8-5
984 1216 1	1123245240 2005-8-5
641 1216 1	1123269960 2005-8-5
535 1216 1	1123279500 2005-8-5
547 1216 1	1123287720 2005-8-6
380 1216 1	1123297800 2005-8-6
572 1216 1	1123351740 2005-8-6
24 1216 1	1123388400 2005-8-7
503 1216 1	1123463280 2005-8-8
286 1216 1	1123490940 2005-8-8
288 1216 1	1123491060 2005-8-8
642 1216 1	1123504860 2005-8-8
823 1216 1	1123520520 2005-8-8
1130 1216 1	1123526640 2005-8-8
944 1216 -1	1123554600 2005-8-9
1106 1216 1	1123561680 2005-8-9
238 1216 1	1123630800 2005-8-9
346 30 1	1123076940 2005-8-3
282 30 1	1123079460 2005-8-3
640 30 1	1123080840 2005-8-3
81 30 1	1123082040 2005-8-3
889 30 1	1123082460 2005-8-3
642 30 1	1123082580 2005-8-3
3 30 1	1123082640 2005-8-3
736 30 1	1123084440 2005-8-3
311 30 1	1123085040 2005-8-3
863 30 1	1123085700 2005-8-3
155 30 1	1123086660 2005-8-3
1064 30 1	1123087020 2005-8-3
684 30 1	1123087140 2005-8-3
965 30 1	1123087560 2005-8-3
918 30 1	1123087800 2005-8-3
1180 30 1	1123088880 2005-8-3
1137 30 1	1123089060 2005-8-3
861 30 1	1123089660 2005-8-3
134 30 1	1123089720 2005-8-3
1185 30 1	1123092960 2005-8-3
720 30 1	1123093380 2005-8-3
1060 30 1	1123093680 2005-8-3
666 30 1	1123101900 2005-8-3
161 30 1	1123102260 2005-8-3
1057 30 1	1123102980 2005-8-3
912 30 1	1123104660 2005-8-3
1130 30 1	1123105200 2005-8-3
911 30 1	1123108500 2005-8-3
293 30 1	1123108800 2005-8-3
29 30 1	1123108980 2005-8-3
858 30 1	1123109400 2005-8-3
170 30 1	1123111080 2005-8-3
535 30 1	1123113000 2005-8-3
534 30 1	1123113180 2005-8-3
1193 30 1	1123116480 2005-8-4
490 30 1	1123117980 2005-8-4
903 30 1	1123118880 2005-8-4
897 30 1	1123119360 2005-8-4
547 30 1	1123122240 2005-8-4
33 30 1	1123123260 2005-8-4
82 30 1	1123123440 2005-8-4
123 30 1	1123123920 2005-8-4
17 30 1	1123124220 2005-8-4
734 30 1	1123124760 2005-8-4
160 30 1	1123128120 2005-8-4
1169 30 1	1123129920 2005-8-4
286 30 1	1123140060 2005-8-4
21 30 1	1123140420 2005-8-4
198 30 1	1123147080 2005-8-4
288 30 1	1123150320 2005-8-4
719 30 1	1123156200 2005-8-4
1151 30 1	1123157760 2005-8-4
973 30 1	1123160400 2005-8-4
577 30 1	1123161540 2005-8-4
1167 30 1	1123166160 2005-8-4
24 30 1	1123171740 2005-8-4
937 30 1	1123172460 2005-8-4
650 30 1	1123180980 2005-8-4
581 30 1	1123192380 2005-8-4
11 30 1	1123208520 2005-8-5
79 30 1	1123215000 2005-8-5
741 30 1	1123231800 2005-8-5
140 30 1	1123249260 2005-8-5
242 30 1	1123252200 2005-8-5
208 30 1	1123256820 2005-8-5
974 30 1	1123268580 2005-8-5
196 30 1	1123268580 2005-8-5
641 30 1	1123269840 2005-8-5
6 30 1	1123271100 2005-8-5
802 30 1	1123283220 2005-8-5
285 30 1	1123286820 2005-8-6
795 30 1	1123295760 2005-8-6
380 30 1	1123296540 2005-8-6
1173 30 1	1123296900 2005-8-6
423 30 1	1123298460 2005-8-6
579 30 1	1123305540 2005-8-6
1129 30 1	1123329720 2005-8-6
119 30 1	1123330440 2005-8-6
1133 30 1	1123346220 2005-8-6
572 30 1	1123349940 2005-8-6
1097 30 1	1123381320 2005-8-7
233 30 1	1123414200 2005-8-7
25 30 1	1123435380 2005-8-7
158 30 1	1123442640 2005-8-7
605 30 1	1123448700 2005-8-7
78 30 1	1123450200 2005-8-7
823 30 1	1123450980 2005-8-7
902 30 1	1123454820 2005-8-7
1089 30 1	1123460100 2005-8-8
503 30 1	1123463580 2005-8-8
1217 30 1	1123513200 2005-8-8
645 30 1	1123543320 2005-8-8
944 30 1	1123554480 2005-8-9
1106 30 1	1123561140 2005-8-9
433 30 1	1123591620 2005-8-9
1218 30 1	1123597740 2005-8-9
693 30 1	1123600320 2005-8-9
77 30 1	1123602540 2005-8-9
7 30 1	1123602900 2005-8-9
1027 30 1	1123604040 2005-8-9
1179 30 1	1123610160 2005-8-9
589 30 1	1123615860 2005-8-9
724 30 1	1123621080 2005-8-9
601 30 1	1123621800 2005-8-9
363 30 1	1123637820 2005-8-10
789 30 1	1123639320 2005-8-10
271 30 1	1123639680 2005-8-10
1028 30 1	1123642020 2005-8-10
984 30 1	1123672200 2005-8-10
454 916 1	1123105020 2005-8-3
1035 916 1	1123105200 2005-8-3
911 916 1	1123108440 2005-8-3
639 916 1	1123108980 2005-8-3
288 916 1	1123109100 2005-8-3
823 916 1	1123115280 2005-8-4
1193 916 1	1123116360 2005-8-4
490 916 1	1123118040 2005-8-4
29 916 1	1123120740 2005-8-4
1219 916 1	1123125660 2005-8-4
720 916 1	1123139100 2005-8-4
285 916 1	1123145100 2005-8-4
719 916 1	1123156140 2005-8-4
346 916 1	1123156260 2005-8-4
973 916 1	1123160220 2005-8-4
577 916 1	1123161780 2005-8-4
650 916 1	1123180860 2005-8-4
399 916 1	1123183680 2005-8-4
1015 916 1	1123188840 2005-8-4
11 916 1	1123208640 2005-8-5
79 916 1	1123214940 2005-8-5
282 916 1	1123246860 2005-8-5
883 916 1	1123264500 2005-8-5
535 916 1	1123279260 2005-8-5
547 916 1	1123287780 2005-8-6
293 916 1	1123292220 2005-8-6
795 916 1	1123295640 2005-8-6
287 916 1	1123312440 2005-8-6
642 916 1	1123376520 2005-8-7
24 916 1	1123388520 2005-8-7
503 916 1	1123464000 2005-8-8
633 916 1	1123542180 2005-8-8
944 916 -1	1123554360 2005-8-9
1106 916 1	1123560960 2005-8-9
693 916 1	1123599660 2005-8-9
726 916 1	1123621680 2005-8-9
158 916 1	1123633260 2005-8-10
1057 1089 1	1123120680 2005-8-4
293 1089 1	1123120740 2005-8-4
858 1089 1	1123120800 2005-8-4
29 1089 1	1123120860 2005-8-4
547 1089 1	1123121580 2005-8-4
217 1089 1	1123122120 2005-8-4
960 1089 1	1123122780 2005-8-4
285 1089 1	1123127220 2005-8-4
63 1089 1	1123129740 2005-8-4
1032 1089 1	1123133400 2005-8-4
1097 1089 1	1123135080 2005-8-4
720 1089 1	1123139040 2005-8-4
286 1089 1	1123140120 2005-8-4
736 1089 1	1123141500 2005-8-4
454 1089 1	1123143720 2005-8-4
912 1089 1	1123146780 2005-8-4
198 1089 1	1123146960 2005-8-4
861 1089 1	1123151340 2005-8-4
719 1089 1	1123156080 2005-8-4
346 1089 1	1123156200 2005-8-4
1151 1089 1	1123156680 2005-8-4
1117 1089 1	1123157520 2005-8-4
863 1089 1	1123159860 2005-8-4
973 1089 1	1123159980 2005-8-4
889 1089 1	1123160640 2005-8-4
577 1089 1	1123162020 2005-8-4
606 1089 1	1123165620 2005-8-4
1019 1089 1	1123171440 2005-8-4
24 1089 1	1123171620 2005-8-4
1220 1089 1	1123172220 2005-8-4
69 1089 1	1123173120 2005-8-4
650 1089 1	1123180800 2005-8-4
1221 1089 1	1123181100 2005-8-4
1222 1089 1	1123182780 2005-8-4
1060 1089 1	1123187400 2005-8-4
1167 1089 1	1123188420 2005-8-4
795 1089 1	1123188420 2005-8-4
724 1089 1	1123188540 2005-8-4
30 1089 1	1123189560 2005-8-4
1179 1089 1	1123191840 2005-8-4
581 1089 1	1123192260 2005-8-4
747 1089 1	1123193100 2005-8-4
535 1089 1	1123195260 2005-8-4
1129 1089 1	1123195980 2005-8-4
1015 1089 1	1123197000 2005-8-4
1040 1089 1	1123197780 2005-8-4
642 1089 1	1123200480 2005-8-5
1223 1089 1	1123208700 2005-8-5
11 1089 1	1123208760 2005-8-5
79 1089 1	1123214880 2005-8-5
423 1089 1	1123236360 2005-8-5
744 1089 1	1123244820 2005-8-5
282 1089 1	1123247160 2005-8-5
1224 1089 1	1123257720 2005-8-5
641 1089 1	1123269780 2005-8-5
898 1089 1	1123288740 2005-8-6
1225 1089 1	1123293900 2005-8-6
1133 1089 1	1123295760 2005-8-6
1226 1089 1	1123296960 2005-8-6
1130 1089 1	1123300200 2005-8-6
579 1089 1	1123305120 2005-8-6
287 1089 1	1123312440 2005-8-6
1064 1089 1	1123338060 2005-8-6
648 1089 1	1123346820 2005-8-6
572 1089 1	1123350960 2005-8-6
1180 1089 1	1123372860 2005-8-7
155 1089 1	1123400640 2005-8-7
1107 1089 1	1123436340 2005-8-7
605 1089 1	1123448580 2005-8-7
987 1089 1	1123451160 2005-8-7
1217 1089 1	1123455600 2005-8-7
902 1089 1	1123456080 2005-8-7
601 1089 1	1123457520 2005-8-7
503 1089 1	1123464300 2005-8-8
158 1089 1	1123464900 2005-8-8
120 1089 -1	1123507440 2005-8-8
1227 1089 1	1123535640 2005-8-8
1228 1089 1	1123543920 2005-8-8
944 1089 -1	1123554240 2005-8-9
1103 1089 1	1123559280 2005-8-9
1229 1089 1	1123561500 2005-8-9
897 1089 1	1123562340 2005-8-9
1106 1089 1	1123587900 2005-8-9
693 1089 1	1123600020 2005-8-9
